 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,684,000,185",08/02/2021,6,500,4.37,0.0025,0.02,0.017,B2B
"100,120,684,000,186",08/02/2021,6,500,4.37,0.0025,0.02,0.017,B2B
"100,120,684,000,187",08/02/2021,6,800,1,0.0025,0.02,0.017,B2B
"100,120,684,000,188",09/02/2021,6,1100,4.86,0.0025,0.02,0.017,B2B
"100,120,684,000,189",08/02/2021,6,200,1.76,0.0025,0.02,0.017,B2B
"100,120,684,000,190",08/02/2021,6,5000,1.77,0.0025,0.02,0.017,B2B
"100,120,684,000,191",08/02/2021,6,3500,0.64,0.0025,0.02,0.017,B2B
"100,120,684,000,192",08/02/2021,5,500,2.61,0.0025,0.02,0.017,B2B
"100,120,684,000,193",09/02/2021,1,1200,1.32,0.0025,0.02,0.017,B2B
"100,120,684,000,194",08/02/2021,6,500,4.37,0.0025,0.02,0.017,B2B
"100,120,684,000,195",08/02/2021,5,650,0.4,0.0025,0.02,0.017,B2B
"100,120,684,000,196",08/02/2021,6,400,3.5,0.0025,0.02,0.017,B2B
"100,120,684,000,197",08/02/2021,6,400,3.5,0.0025,0.02,0.017,B2B
"100,120,684,000,198",08/02/2021,6,200,1.76,0.0025,0.02,0.017,B2B
"100,120,684,000,199",08/02/2021,6,200,1.76,0.0025,0.02,0.017,B2B
"100,120,684,000,200",08/02/2021,6,200,1.76,0.0025,0.02,0.017,B2B
"100,120,684,000,201",08/02/2021,6,1500,1.12,0.0025,0.02,0.017,B2B
"100,120,684,000,202",08/02/2021,6,200,1.76,0.0025,0.02,0.017,B2B
"100,120,684,000,203",08/02/2021,6,1000,2.76,0.0025,0.02,0.017,B2B
"100,120,684,000,204",08/02/2021,4,250,1.35,0.0025,0.02,0.017,B2B
"100,120,684,000,205",08/02/2021,6,300,2.62,0.0025,0.02,0.017,B2B
"100,120,684,000,206",08/02/2021,6,570,3.19,0.0025,0.02,0.017,B2B
